,DM01,DM02,DM03,DM04,DM06,DM08,DM09,DM10,DM11,DM12,DM13,DM14,DM15,DM17,DM18,DM19,DM20,DM21,DM22,DM23,DM24,DM25,DM26,DM27,DM28,DM29,DM30,DM31,DM32,DM33
Cytotoxic T cell,89.7189125889928,66.94311598018298,24.68966792621026,526.6520570465738,25.82677238543035,152.824068543356,904.5903373646138,104.4240893430041,49.19930225331613,38.07047276218293,82.7550197624732,31.27157698399617,536.0790485177201,108.6261264795337,1010.826792963258,1307.570348643306,115.9648000653698,222.1885492096719,1953.179383333624,76.62184925679728,673.1507117760825,54.86772083496339,69.51391607588945,4.206671090632156,758.7247378513878,7.369040036209965,975.4165677313531,117.6385013109376,72.25014442558496,12.89756691552686
M1 Macrophage,69.8721253708542,115.2384063278888,308.0049462985579,228.081122836425,85.11095445198637,167.3180052413223,585.6544296727495,85.3908957408814,49.75327047010224,3.953906666695556,11.22397667895807,46.78359934017369,239.8712941689146,12.26424008639897,56.70156246995563,142.4937738892276,178.0651638289746,35.52886576987392,391.9700775254533,174.5293184445749,81.41350791392148,126.7961522654138,20.0938663656868,25.3213148740467,182.3805487376662,16.99103498794909,121.0740492557536,30.28479064890573,50.60321399457312,7.764861714449842
M2 Macrophage,424.6640746531344,210.4540321379565,408.1025370883344,263.8533837205965,326.8596063584659,590.3090538347691,1150.878689861215,248.6064053215535,572.8723821839329,103.2534483817068,470.302069444217,113.617312683279,856.4752445380457,227.4426565293989,790.3828108965914,850.8026460439324,237.2608924609484,372.1781827542253,910.5597025661513,480.9209780507851,1061.862677580445,774.0925901548139,309.5541575254452,315.053245981016,661.6270788499658,177.5140727194018,625.9308211887451,408.9260844877782,362.8170120848997,78.93179344476768
Macrophage,494.536200023989,325.6924384658453,716.1074833868922,491.9345065570216,411.9705608104522,757.6270590760914,1736.533119533965,333.9973010624349,622.6256526540352,107.2073550484024,481.526046123175,160.4009120234526,1096.34653870696,239.7068966157979,847.0843733665471,993.2964199331601,415.3260562899229,407.7070485240993,1302.529780091605,655.45029649536,1143.276185494367,900.8887424202277,329.648023891132,340.3745608550627,844.007627587632,194.5051077073509,747.0048704444987,439.210875136684,413.4202260794728,86.69665515921751
PD-1+ cytotoxic T cell,47.08507337965804,12.71833268943143,13.01429350557287,287.7601526653008,12.95531277126295,89.90105802525194,730.2612342000986,27.58638183813835,23.05892702372171,15.70265790487664,57.2248344668121,14.76942554125413,180.9642313529978,2.467150338080259,542.8562023279754,583.2316202589445,48.56991150486793,120.5851225808355,1687.05164893969,18.25393493331447,196.9712889267809,0.6538948311859125,16.42809344762231,0.2845091558881652,154.3562981895352,0.1877462429607634,194.0706942252225,44.20602506009627,16.74725415534682,6.909410847603673
PD-1- cytotoxic T cell,42.63383920933477,54.22478329075155,11.67537442063739,238.8919043812729,12.8714596141674,62.92301051810411,174.3291031645152,76.83770750486576,26.14037522959443,22.36781485730629,25.53018529566109,16.50215144274204,355.1148171647224,106.1589761414535,467.970590635282,724.338728384361,67.39488856050184,101.6034266288364,266.1277343939338,58.36791432348281,476.1794228493016,54.21382600377748,53.08582262826715,3.922161934743991,604.3684396618526,7.181293793249202,781.3458735061306,73.43247625084132,55.50289027023814,5.988156067923184
PD-L1+ Others cell,71.18971950600752,324.326771181676,50.28665789603498,75.27330295995546,475.2186249665452,24.76817451609469,339.8100952301588,444.7188514076475,252.5796910899051,161.3734200781603,294.9776131938726,345.1340953597867,477.740278298604,0.178779,1441.423738799238,28.21830296448705,1060.50114383332,244.4636326753818,3150.997902806906,84.5289343266554,1017.057633458795,6.054046970145358,0.0,0.20322082563440366,247.5400237732904,0.0,456.0979177072473,70.17446395115857,34.38540403304782,63.66473173819526
PD-L1+M1 Macrophage,5.22713737432457,18.73376031281116,1.499589375127738,32.52023716742862,10.60742437258746,3.401243811789411,55.127042314407,12.87677789378179,0.03462301354913169,0.0,0.1163106391601872,10.80890919499604,114.6550717899705,0.0,20.54840550465412,0.1109332611048872,19.37649005531068,1.065105183679304,102.8500467796464,4.818783522605743,12.54378259946797,0.1783349539597943,0.0,0.02032208256344037,21.55956547850533,0.0,14.66096669169671,5.210286563252599,0.6425804951691825,0.3948234770059242
PD-L1+M2 Macrophage,68.60617803800999,50.8733307577257,11.19336355006061,17.40272151121856,57.3555594533583,25.77988207344929,317.2777162942119,72.60810892661628,1.523412596161794,2.146406476206159,55.24755360108892,36.88230847452846,274.7757420098916,0.0,450.6033190372061,17.19465547125752,77.46919268793091,51.69564087929193,396.7628378917592,5.744245258735323,465.2823144134704,2.080574462864267,0.0,0.08128833025376146,101.1739136266048,0.0,118.9167298326511,54.99294646058016,10.68290073218766,5.099803244659854
PD-L1- Others cell,8559.5789727092,8747.99235470152,7297.259228147163,8080.734818326427,6803.000275313161,6919.888458339314,3723.929760234812,7605.206755218562,6633.563261701882,7984.346778252419,5322.628406567057,7428.291891007687,7548.691453359446,0.0,3598.286786483247,6848.284514566928,7642.971449029699,8273.334354848805,3138.073699593679,8192.504003078064,5507.49488047234,8922.181398952556,0.0,0.0,6673.345208325874,0.0,8438.668804497058,7312.439049132765,8840.689178462266,6568.269688137704
